SYMBOL ENSEMBL HOCOID
HMX2 ENSG00000188816 HMX2
HMX3 ENSG00000188620 HMX3
HNF1A ENSG00000135100 HNF1A
HNF1B ENSG00000275410 HNF1B
HNF4A ENSG00000101076 HNF4A
HNF4G ENSG00000164749 HNF4G
HNF6 ENSG00000169856 HNF6
HOMEZ ENSG00000215271 HOMEZ
HSF1 ENSG00000185122 HSF1
HSF2 ENSG00000025156 HSF2
HSF4 ENSG00000102878 HSF4
HSFY1 ENSG00000172468 HSFY1
HTF4 ENSG00000140262 HTF4
HXA1 ENSG00000105991 HXA1
HXA10 ENSG00000253293 HXA10
HXA11 ENSG00000005073 HXA11
HXA13 ENSG00000106031 HXA13
HXA2 ENSG00000105996 HXA2
HXA5 ENSG00000106004 HXA5
HXA7 ENSG00000122592 HXA7
HXA9 ENSG00000078399 HXA9
HXB1 ENSG00000120094 HXB1
HXB13 ENSG00000159184 HXB13
HXB2 ENSG00000173917 HXB2
HXB3 ENSG00000120093 HXB3
HXB6 ENSG00000108511 HXB6
HXB7 ENSG00000260027 HXB7
HXB8 ENSG00000120068 HXB8
HXC10 ENSG00000180818 HXC10
HXC11 ENSG00000123388 HXC11
HXC12 ENSG00000123407 HXC12
HXC13 ENSG00000123364 HXC13
HXC6 ENSG00000197757 HXC6
HXC8 ENSG00000037965 HXC8
HXD10 ENSG00000128710 HXD10
HXD11 ENSG00000128713 HXD11
HXD12 ENSG00000170178 HXD12
HXD13 ENSG00000128714 HXD13
HXD3 ENSG00000128652 HXD3
HXD4 ENSG00000170166 HXD4
HXD8 ENSG00000175879 HXD8
HXD9 ENSG00000128709 HXD9
ID4 ENSG00000172201 ID4
IKZF1 ENSG00000185811 IKZF1
INSM1 ENSG00000173404 INSM1
IRF1 ENSG00000125347 IRF1
IRF2 ENSG00000168310 IRF2
IRF3 ENSG00000126456 IRF3
IRF4 ENSG00000137265 IRF4
IRF5 ENSG00000128604 IRF5
IRF7 ENSG00000185507 IRF7
IRF8 ENSG00000140968 IRF8
IRF9 ENSG00000213928 IRF9
IRX2 ENSG00000170561 IRX2
IRX3 ENSG00000177508 IRX3
ISL1 ENSG00000016082 ISL1
ISL2 ENSG00000159556 ISL2
ISX ENSG00000175329 ISX
ITF2 ENSG00000196628 ITF2
JDP2 ENSG00000140044 JDP2
JUN ENSG00000177606 JUN
JUNB ENSG00000171223 JUNB
JUND ENSG00000130522 JUND
KAISO ENSG00000177485 KAISO.S
KAISO ENSG00000177485 KAISO.A
KLF1 ENSG00000105610 KLF1
KLF12 ENSG00000118922 KLF12
KLF13 ENSG00000169926 KLF13
KLF14 ENSG00000266265 KLF14
KLF15 ENSG00000163884 KLF15
KLF16 ENSG00000129911 KLF16
KLF3 ENSG00000109787 KLF3
KLF4 ENSG00000136826 KLF4
KLF6 ENSG00000067082 KLF6
KLF8 ENSG00000102349 KLF8
LBX2 ENSG00000179528 LBX2
LEF1 ENSG00000138795 LEF1
LHX2 ENSG00000106689 LHX2
LHX3 ENSG00000107187 LHX3
LHX4 ENSG00000121454 LHX4
LHX6 ENSG00000106852 LHX6
LHX8 ENSG00000162624 LHX8
LHX9 ENSG00000143355 LHX9
LMX1A ENSG00000162761 LMX1A
LMX1B ENSG00000136944 LMX1B
MAF ENSG00000178573 MAF
MAFA ENSG00000182759 MAFA
MAFB ENSG00000204103 MAFB
MAFF ENSG00000185022 MAFF
MAFG ENSG00000197063 MAFG.C
MAFG ENSG00000197063 MAFG.S
MAFK ENSG00000198517 MAFK.A
MAFK ENSG00000198517 MAFK.S
MAX ENSG00000125952 MAX
MAZ ENSG00000103495 MAZ
MBD2 ENSG00000134046 MBD2
MCR ENSG00000151623 MCR
MECP2 ENSG00000169057 MECP2
MEF2A ENSG00000068305 MEF2A
MEF2B ENSG00000064489 MEF2B
MEF2C ENSG00000081189 MEF2C
MEF2D ENSG00000116604 MEF2D
MEIS1 ENSG00000143995 MEIS1
MEIS2 ENSG00000134138 MEIS2
MEIS3 ENSG00000105419 MEIS3
MEOX1 ENSG00000005102 MEOX1
MEOX2 ENSG00000106511 MEOX2
MESP1 ENSG00000166823 MESP1
MGAP ENSG00000174197 MGAP
MITF ENSG00000187098 MITF
MIXL1 ENSG00000185155 MIXL1
MLX ENSG00000108788 MLX
MLXPL ENSG00000009950 MLXPL
MNT ENSG00000070444 MNT
MNX1 ENSG00000130675 MNX1
MSX1 ENSG00000163132 MSX1
MSX2 ENSG00000120149 MSX2
MTF1 ENSG00000188786 MTF1
MUSC ENSG00000178860 MUSC
MYB ENSG00000118513 MYB
MYBA ENSG00000185697 MYBA
MYBB ENSG00000101057 MYBB
MYC ENSG00000136997 MYC
MYCN ENSG00000134323 MYCN
MYF6 ENSG00000111046 MYF6
MYOD1 ENSG00000129152 MYOD1
MYOG ENSG00000122180 MYOG
MZF1 ENSG00000099326 MZF1
NANOG ENSG00000111704 NANOG.S
NANOG ENSG00000111704 NANOG.A
NDF1 ENSG00000162992 NDF1
NDF2 ENSG00000171532 NDF2
NF2L1 ENSG00000082641 NF2L1
NF2L2 ENSG00000116044 NF2L2
NFAC1 ENSG00000131196 NFAC1.S
NFAC1 ENSG00000131196 NFAC1.A
NFAC2 ENSG00000101096 NFAC2
NFAC3 ENSG00000072736 NFAC3
NFAC4 ENSG00000100968 NFAC4
NFAT5 ENSG00000102908 NFAT5
NFE2 ENSG00000123405 NFE2
NFIA ENSG00000162599 NFIA.S
NFIA ENSG00000162599 NFIA.C
NFIC ENSG00000141905 NFIC
NFIL3 ENSG00000165030 NFIL3
NFKB1 ENSG00000109320 NFKB1
NFKB2 ENSG00000077150 NFKB2
NFYA ENSG00000001167 NFYA
NFYB ENSG00000120837 NFYB
NFYC ENSG00000066136 NFYC
NGN2 ENSG00000178403 NGN2
NKX21 ENSG00000136352 NKX21
NKX22 ENSG00000125820 NKX22
NKX23 ENSG00000119919 NKX23
NKX25 ENSG00000183072 NKX25
NKX28 ENSG00000136327 NKX28
NKX31 ENSG00000167034 NKX31
NKX32 ENSG00000109705 NKX32
NKX61 ENSG00000163623 NKX61
NKX62 ENSG00000148826 NKX62
NOBOX ENSG00000106410 NOBOX
NOTO ENSG00000214513 NOTO
NR0B1 ENSG00000169297 NR0B1
NR1D1 ENSG00000126368 NR1D1
NR1H2 ENSG00000131408 NR1H2
NR1H4 ENSG00000012504 NR1H4
NR1I2 ENSG00000144852 NR1I2.S
NR1I2 ENSG00000144852 NR1I2.C
NR1I3 ENSG00000143257 NR1I3.C
NR1I3 ENSG00000143257 NR1I3.S
NR2C1 ENSG00000120798 NR2C1
NR2C2 ENSG00000177463 NR2C2
NR2E1 ENSG00000112333 NR2E1
NR2E3 ENSG00000278570 NR2E3
NR2F6 ENSG00000160113 NR2F6
NR4A1 ENSG00000123358 NR4A1
NR4A2 ENSG00000153234 NR4A2
NR4A3 ENSG00000119508 NR4A3
NR5A2 ENSG00000116833 NR5A2
NR6A1 ENSG00000148200 NR6A1
NRF1 ENSG00000106459 NRF1
NRL ENSG00000129535 NRL
OLIG1 ENSG00000184221 OLIG1
OLIG2 ENSG00000205927 OLIG2
OLIG3 ENSG00000177468 OLIG3
ONEC2 ENSG00000119547 ONEC2
ONEC3 ENSG00000205922 ONEC3
OTX1 ENSG00000115507 OTX1
OTX2 ENSG00000165588 OTX2
OVOL1 ENSG00000172818 OVOL1
P53 ENSG00000141510 P53
P5F1B ENSG00000212993 P5F1B
P63 ENSG00000073282 P63.S
P63 ENSG00000073282 P63.A
P73 ENSG00000078900 P73.S
P73 ENSG00000078900 P73.A
PAX1 ENSG00000125813 PAX1
PAX2 ENSG00000075891 PAX2.D
PAX2 ENSG00000075891 PAX2.S
PAX3 ENSG00000135903 PAX3
PAX4 ENSG00000106331 PAX4
PAX5 ENSG00000196092 PAX5.A
PAX5 ENSG00000196092 PAX5.S
PAX6 ENSG00000007372 PAX6
PAX7 ENSG00000009709 PAX7
PAX8 ENSG00000125618 PAX8
PBX1 ENSG00000185630 PBX1
PBX2 ENSG00000204304 PBX2
PBX3 ENSG00000167081 PBX3
PDX1 ENSG00000139515 PDX1
PEBB ENSG00000067955 PEBB
PHX2A ENSG00000165462 PHX2A
PHX2B ENSG00000109132 PHX2B
PIT1 ENSG00000064835 PIT1
PITX1 ENSG00000069011 PITX1
PITX2 ENSG00000164093 PITX2
PITX3 ENSG00000107859 PITX3
PKNX1 ENSG00000160199 PKNX1
PKNX2 ENSG00000165495 PKNX2
PLAG1 ENSG00000181690 PLAG1.S
PLAG1 ENSG00000181690 PLAG1.D
PLAL1 ENSG00000118495 PLAL1
PO2F1 ENSG00000143190 PO2F1
PO2F2 ENSG00000028277 PO2F2
PO2F3 ENSG00000137709 PO2F3
PO3F1 ENSG00000185668 PO3F1
PO3F2 ENSG00000184486 PO3F2
PO3F3 ENSG00000198914 PO3F3
PO3F4 ENSG00000196767 PO3F4
PO4F1 ENSG00000152192 PO4F1
PO4F2 ENSG00000151615 PO4F2
PO4F3 ENSG00000091010 PO4F3
PO5F1 ENSG00000204531 PO5F1
PO6F1 ENSG00000184271 PO6F1
PO6F2 ENSG00000106536 PO6F2
PPARA ENSG00000186951 PPARA.C
PPARA ENSG00000186951 PPARA.S
PPARD ENSG00000112033 PPARD
PPARG ENSG00000132170 PPARG.S
PPARG ENSG00000132170 PPARG.A
PRD14 ENSG00000147596 PRD14
PRDM1 ENSG00000057657 PRDM1
PRDM4 ENSG00000110851 PRDM4
PRGR ENSG00000082175 PRGR.C
PRGR ENSG00000082175 PRGR.S
PROP1 ENSG00000175325 PROP1
PROX1 ENSG00000117707 PROX1
PRRX1 ENSG00000116132 PRRX1
PRRX2 ENSG00000167157 PRRX2
PTF1A ENSG00000168267 PTF1A
PURA ENSG00000185129 PURA
RARA ENSG00000131759 RARA.C
RARA ENSG00000131759 RARA.S
RARB ENSG00000077092 RARB
RARG ENSG00000172819 RARG.C
RARG ENSG00000172819 RARG.S
RAX2 ENSG00000173976 RAX2
REL ENSG00000162924 REL
RELB ENSG00000104856 RELB
REST ENSG00000084093 REST
RFX1 ENSG00000132005 RFX1
RFX2 ENSG00000087903 RFX2
RFX3 ENSG00000080298 RFX3
RFX4 ENSG00000111783 RFX4
RFX5 ENSG00000143390 RFX5
RHXF1 ENSG00000101883 RHXF1
RORA ENSG00000069667 RORA
RORG ENSG00000143365 RORG
RREB1 ENSG00000124782 RREB1
RUNX1 ENSG00000159216 RUNX1
RUNX2 ENSG00000124813 RUNX2
RUNX3 ENSG00000020633 RUNX3
RX ENSG00000134438 RX
RXRA ENSG00000186350 RXRA
RXRB ENSG00000204231 RXRB
RXRG ENSG00000143171 RXRG
SCRT1 ENSG00000261678 SCRT1
SCRT2 ENSG00000215397 SCRT2
SHOX ENSG00000185960 SHOX
SHOX2 ENSG00000168779 SHOX2
SMAD1 ENSG00000170365 SMAD1
SMAD2 ENSG00000175387 SMAD2
SMAD3 ENSG00000166949 SMAD3
SMAD4 ENSG00000141646 SMAD4
SMRC1 ENSG00000173473 SMRC1
SNAI1 ENSG00000124216 SNAI1
SNAI2 ENSG00000019549 SNAI2
SOX1 ENSG00000182968 SOX1
SOX10 ENSG00000100146 SOX10
SOX11 ENSG00000176887 SOX11
SOX13 ENSG00000143842 SOX13
SOX15 ENSG00000129194 SOX15
SOX17 ENSG00000164736 SOX17
SOX18 ENSG00000203883 SOX18
SOX2 ENSG00000181449 SOX2
SOX21 ENSG00000125285 SOX21
SOX3 ENSG00000134595 SOX3
SOX4 ENSG00000124766 SOX4
SOX5 ENSG00000134532 SOX5
SOX7 ENSG00000171056 SOX7
SOX8 ENSG00000005513 SOX8
SOX9 ENSG00000125398 SOX9
SP1 ENSG00000185591 SP1.C
SP1 ENSG00000185591 SP1.S
SP2 ENSG00000167182 SP2
SP3 ENSG00000172845 SP3
SP4 ENSG00000105866 SP4
SPDEF ENSG00000124664 SPDEF
SPI1 ENSG00000066336 SPI1
SPIB ENSG00000269404 SPIB
SPIC ENSG00000166211 SPIC
SPZ1 ENSG00000164299 SPZ1
SRBP1 ENSG00000072310 SRBP1
SRBP2 ENSG00000198911 SRBP2
SRF ENSG00000112658 SRF
SRY ENSG00000184895 SRY
STA5A ENSG00000126561 STA5A
STA5B ENSG00000173757 STA5B
STAT1 ENSG00000115415 STAT1.A
STAT1 ENSG00000115415 STAT1.S
STAT2 ENSG00000170581 STAT2
STAT3 ENSG00000168610 STAT3
STAT4 ENSG00000138378 STAT4
STAT6 ENSG00000166888 STAT6
STF1 ENSG00000136931 STF1
TAL1 ENSG00000162367 TAL1.A
TAL1 ENSG00000162367 TAL1.S
TBP ENSG00000112592 TBP
TBR1 ENSG00000136535 TBR1
TBX1 ENSG00000184058 TBX1
TBX15 ENSG00000092607 TBX15
TBX19 ENSG00000143178 TBX19
TBX2 ENSG00000121068 TBX2
TBX20 ENSG00000164532 TBX20
TBX21 ENSG00000073861 TBX21
TBX3 ENSG00000135111 TBX3
TBX4 ENSG00000121075 TBX4
TBX5 ENSG00000089225 TBX5
TCF7 ENSG00000081059 TCF7
TEAD1 ENSG00000187079 TEAD1
TEAD3 ENSG00000007866 TEAD3
TEAD4 ENSG00000197905 TEAD4
TEF ENSG00000167074 TEF
TF2LX ENSG00000153779 TF2LX
TF65 ENSG00000173039 TF65
TF7L1 ENSG00000152284 TF7L1
TF7L2 ENSG00000148737 TF7L2
TFAP4 ENSG00000090447 TFAP4
TFCP2 ENSG00000135457 TFCP2
TFDP1 ENSG00000198176 TFDP1.D
TFDP1 ENSG00000198176 TFDP1.S
TFE2 ENSG00000071564 TFE2
TFE3 ENSG00000068323 TFE3
TFEB ENSG00000112561 TFEB
TGIF1 ENSG00000177426 TGIF1.D
TGIF1 ENSG00000177426 TGIF1.S
TGIF2 ENSG00000118707 TGIF2
THA ENSG00000126351 THA.S
THA ENSG00000126351 THA.D
